Year,Month,Value
  1974,1,6.95
  1974,2,6.87
  1974,3,6.77
  1974,4,6.77
  1974,5,6.87
  1974,6,6.85
  1974,7,6.80
  1974,8,6.71
  1974,9,6.70
  1974,10,6.97
  1974,11,6.97
  1974,12,7.09
  1975,1,7.61
  1975,2,7.47
  1975,3,7.57
  1975,4,7.55
  1975,5,7.52
  1975,6,7.49
  1975,7,7.75
  1975,8,7.73
  1975,9,7.75
  1975,10,7.83
  1975,11,7.80
  1975,12,7.93
  1976,1,8.63
  1976,2,7.91
  1976,3,7.78
  1976,4,7.86
  1976,5,7.89
  1976,6,8.00
  1976,7,8.04
  1976,8,8.03
  1976,9,8.39
  1976,10,8.46
  1976,11,8.61
  1976,12,8.62
  1977,1,8.50
  1977,2,8.56
  1977,3,8.45
  1977,4,8.41
  1977,5,8.49
  1977,6,8.44
  1977,7,8.47
  1977,8,8.45
  1977,9,8.43
  1977,10,8.72
  1977,11,8.69
  1977,12,8.81
  1978,1,8.71
  1978,2,8.86
  1978,3,8.80
  1978,4,8.82
  1978,5,8.81
  1978,6,9.05
  1978,7,8.96
  1978,8,9.05
  1978,9,9.15
  1978,10,9.17
  1978,11,9.20
  1978,12,9.47
  1979,1,9.46
  1979,2,9.69
  1979,3,9.83
  1979,4,10.33
  1979,5,10.71
  1979,6,11.70
  1979,7,13.39
  1979,8,14.00
  1979,9,14.57
  1979,10,15.06
  1979,11,15.52
  1979,12,17.00
  1980,1,17.86
  1980,2,18.86
  1980,3,19.33
  1980,4,20.28
  1980,5,21.05
  1980,6,21.52
  1980,7,22.31
  1980,8,22.62
  1980,9,22.59
  1980,10,23.23
  1980,11,23.99
  1980,12,25.83
  1981,1,28.81
  1981,2,34.30
  1981,3,34.59
  1981,4,33.92
  1981,5,32.73
  1981,6,31.68
  1981,7,31.10
  1981,8,31.10
  1981,9,31.10
  1981,10,30.98
  1981,11,30.97
  1981,12,30.80
  1982,1,30.80
  1982,2,29.73
  1982,3,28.31
  1982,4,27.64
  1982,5,27.66
  1982,6,28.12
  1982,7,28.09
  1982,8,27.99
  1982,9,27.99
  1982,10,28.76
  1982,11,28.74
  1982,12,28.02
  1983,1,27.22
  1983,2,26.41
  1983,3,26.08
  1983,4,25.85
  1983,5,26.08
  1983,6,25.98
  1983,7,25.86
  1983,8,26.03
  1983,9,26.08
  1983,10,26.04
  1983,11,26.09
  1983,12,25.88
  1984,1,25.93
  1984,2,26.06
  1984,3,26.05
  1984,4,25.93
  1984,5,26.00
  1984,6,26.09
  1984,7,26.11
  1984,8,26.02
  1984,9,25.97
  1984,10,25.92
  1984,11,25.44
  1984,12,25.05
  1985,1,24.26
  1985,2,23.64
  1985,3,23.89
  1985,4,24.19
  1985,5,24.18
  1985,6,24.07
  1985,7,24.04
  1985,8,23.99
  1985,9,23.96
  1985,10,24.10
  1985,11,24.27
  1985,12,24.51
  1986,1,23.12
  1986,2,17.65
  1986,3,12.62
  1986,4,10.68
  1986,5,10.75
  1986,6,10.68
  1986,7,9.25
  1986,8,9.77
  1986,9,11.09
  1986,10,11.00
  1986,11,11.05
  1986,12,11.73
  1987,1,13.79
  1987,2,14.51
  1987,3,14.54
